place_time,place_sig,side,ticker,mint,user,pending,usdc,assets,price,staleness,placed_in_hours,fill_time,fill_sig,latency_s,order_id,asset_minted,asset_quoted,usdc_paid,usdc_quoted,fill_in_hours
2026-06-08 10:20:51,3R1zz6fdMopYosUkaygGQ6nyrMkGfGYNFQVQw8yhQQw4hdQcTT3Kop4m5p3JA2aJYLfxaXqLSfaqJQndeYfbcrGc,buy,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,4HsU9HC13DEQweJfTKtPTwJT2kqfjfEbXxZdfZiMQ5VA,5000000,24390243,205000000000000000000,,0,,,,,,,,,
2026-06-08 10:21:24,3nFfkpEtkq7WBwz49SMJiJRKVq5QqM9tqUN53i4tXcLRrhgTrWnEPQUMurWoFFdKBtVkm3tYQzGar65KWE6aiVbG,sell,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,9tkGSS85ixwavN9BWT9ZLQPcPfCh3Ff3bGgTB8ytMWSy,205000000,1000000000,205000000000000000000,,0,,,,,,,,,
2026-06-08 10:33:04,46Z1z5WsxvSRQXWw1NCuRLZ7Sc5ifTQiD1kXewMW89cTi92SyH9R71okGkqGshEmUFkXSiXgem865X5U6A6X6AQ3,buy,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,79ZWkwDZRfrbr2Y8QZ2WzKZJEA5U58QSxGwm5Ym552VF,5000000,24390243,205000000000000000000,,0,,,,,,,,,
2026-06-08 10:34:38,3fb9xnaotCUZbjhBD3fsKvZhMkJ3LjQD3ME2anVrwkG5XPMKyQ6kQob6Uy7Cud3scAcWtEfXxP6ogtPtPGns4CP3,buy,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,35KrDkjXswFMLm3H8Th3uzWVqW27TQjdTM489w6w7jbF,1000000,4878048,205000000000000000000,,0,,,,,,,,,
2026-06-08 10:34:54,4qsqRRmJ6Jotf5VpktqLDAUAQspA36F5BWHj8QNF7PodbTMuZBKcqKWYDzEkjXoq7qtgpCqGZ8DwEu7syGjkfYgv,buy,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,2KRG5KBVH27jgazSWqEsdpZtuF8Rb3SJzGyQaysRKKTq,1000000,4878048,205000000000000000000,,0,,,,,,,,,
2026-06-08 10:38:09,3cF67hGZhCw7D7JFpB5RkqJRxAf2ZE3JitbuMxfvfmunZpY6qRUjbi2W3SZm5QNgXgmjqfUMKgtQM1FZCKXAZq9m,buy,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,CSLxfUUWhECo2bnW5s1wSvyi2YY7Sxrq7FwhtwpT5ZYT,1000000,4878048,205000000000000000000,,0,,,,,,,,,
2026-06-09 09:18:43,3MpncNMNe9bGMWF5xMaudbZpcspgFFWpgSqenbbGAWd1xZcMEdpASEuJUHLVLWFf6gYfrWeUynbftkNuYSUXVYbU,buy,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,4mMdhm3jewbMX6Fxc2FbWVp31kMf8Wvw4zabW283uCLP,1000000,4807692,208000000000000000000,,0,,,,,,,,,
2026-06-09 09:42:50,5rNHGkESu4MBTazux5wmdPio45YeBd5joKYAuSir2cgBkq92mjU3JQAHVK9mtYmXVzPWtoBBkSdEYRKJHYS8VXGu,buy,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,2f2VAHbrzpKSgDunNviEqeCKfrWmGVoyLca11iuiUxZV,1000000,4807692,208000000000000000000,,0,2026-06-09 11:46:44,LcJM5fm9jxxrswuAXgXDQzpcEfciHPh9NAK41QYnEzKgzVNby59R9jLpNynHF8Rgo3bArFq2Ghq3REbooyo44pd,7434,,,,,,0
2026-06-09 11:57:03,4uTsqXxB1URXGcyhmzcUMj5tCyV1qLHUU6LStsn5L2jCggB9VKcUTJzFbSzdY7Hep7ziZ5s3VZWyc7BSYKea8cX3,sell,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,CZr4tGwCHghoAKfTUnyhXP1Q6JGp5bw11snYh39cS22u,999999,4807692,208000000000000000000,,0,,,,,,,,,
2026-06-09 11:57:37,LGoVxh7qUXTv5MeqqyaKcEyrQdRVHFrkBBoByq5e2AnN237gTK73qhvViKhMQgosWg2eEQ9emWtdP64pSYtjU6v,sell,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,C5Kvk2ZHhNvEcs7Ay8SDrBsv1TJW3qArXYNqt5qay2Ly,999999,4807692,208000000000000000000,,0,,,,,,,,,
2026-06-09 12:01:01,hXBNB6zXYWDbDz9PU1ZCNSSgcSiaNUtaH4zvK4NUa4jhbE8vaNdgDbNxEkyRyN7113KvdKUpvczH4ArsYRR23LJ,sell,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,EXmy9LdshhmrXTNYeSqupRu5ZgwiKpwbHumJGugUwvmf,999999,4807692,208000000000000000000,,0,,,,,,,,,
2026-06-09 12:02:44,2Nmbr2ZJ7QTWH8UJDnj4eLrtjyJMU1GqjeaFsXMm6puLgPhfdNWWUBmPsRTafJZUEC3MximQu9BeUTkia3pxyMxv,sell,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,8G1fFunCDCgD6TYEmuGALCcjkZDWGApuQHjhsrfiCBs6,999999,4807692,208000000000000000000,,0,2026-06-09 12:06:01,65Zduu9KPa2u4AsmNKkV7PLwFED2GtFHJFyMSEYyydyyk7ZZwrQpTAYP1Bsw1jzGv3MVkxvQNvNRuKtALWBcbHdX,197,,,,,,0
2026-06-09 12:04:50,ZcBA4MMAf5CHxGDG7Byzx5CZNpih5fEzE9cn3NpRLC6vEna7AJVrbeW8YAcuVVC6ST61YToTrnC2qcANcNAFB7g,sell,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,9eBXZSwhZAvXUXu3eaTP4VjUwL2HRgRqAQNTaNohtHns,999999,4807692,208000000000000000000,,0,,,,,,,,,
2026-06-15 04:53:18,5ytFUnA23sGBmNPBu7gEgVYcLn5dcurswFjnqwVfHGSVjLkHcBgdLvwdpQRcBuoSdvY5cAK8kDspd7qr5GEJcsWA,buy,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,oiW73WW5t3Fuzwbcd2sQsv5TNXFDVrGmUgmrH4q4Crs,1000000,4878048,205000000000000000000,,0,,,,,,,,,
2026-06-15 04:55:58,2F6jVHoHH4y2aSkgMp88KrYh49vYKjL75DCjyPgsQBpFVK2idDAML9i2NiUEZMCGqSxwAruthQSRb6EFs3kHmKFS,buy,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,HtFWB3VHP26giKeK5x7dW7xf9UmWnACnauWk1VGhsech,1000000,4878048,205000000000000000000,,0,,,,,,,,,
2026-06-15 04:58:33,5ejxmvdtQx4M1BgtdpMZhV76YE4dT1rjd3tdrXzonozY3Boa6eLPVi9KEs1PxvqchdMAW7zfLM2tswWV4zYUyayX,sell,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,Fx52iSzGQ29HkckMbyoBPRBdsqEvWymW1e5szf2L53Dg,985576,4807692,205000000000000000000,,0,,,,,,,,,
2026-06-19 09:22:27,5mQ3fAeG9nGJznaDgRoxkFNNZk2K1kyVwJoiuBQjz5XbroqWs7WK11ApksM4nzaXg8j83AwfFJXXvesJLeTaRajN,buy,?,,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,5mDnAJQ8Fs8X5iCg1zp4GB5XwktTGDUuYD6UF2g4PvNd,1000000,4878048,205000000000000000000,,0,2026-06-23 11:32:04,4X3JXnUmBToQUHGZm6LuqEwuVY3FCEaerY8ffrFCDi4wmsA167QLAJ78NmvENqzqGHerJA9cfk7CdX2s64PM2t2w,353377,,,,,,0
2026-06-23 12:37:36,31Hzjmkoym2WYtp4rwBccruUphygxUjZWNqBkgUeSMa8abt6VbpUnVpfnDT8cPLp5Jr6GL29ZsEtBW53WALiphgC,buy,NVDA,FkzjAJX584L1LncQb8AKSnGhc5sLvZjPGCgZLGpeHyTH,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,Br13Z4ELa3eXoaHZg3eBXNHiQqkhh1aBFYE7Ci2PZpiD,1000000,4878048,205000000000000000000,,0,,,,,,,,,
2026-06-24 14:08:47,5Yp1Uiv1WZx5egYw3QCXeF2BKwQDobbCwzBMsto3SFVNmquhw3rFcgfvKJMp77L6CFfLjnjk2857Ak8jsEXWS4uQ,buy,NVDA,FkzjAJX584L1LncQb8AKSnGhc5sLvZjPGCgZLGpeHyTH,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,5TGySBVCJ11zub3ELgyYm7tq6yGesNxBuhxYJXsegUXF,1000000,4878048,205000000000000000000,,1,,,,,,,,,
2026-06-24 14:12:03,5RJqi5KCqTw4TQ3nGCDQC8LdibUn59xZ7Vt8H6bCPbg9cBdiFmPKvDjE615h3T4yAC6sMKvmF9iCowmmbzdmjQHN,buy,NVDA,FkzjAJX584L1LncQb8AKSnGhc5sLvZjPGCgZLGpeHyTH,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,HWSDjhSJtaPCki96hrQKqaUA1GFHSsmFC6kPaKxUZQ4x,1000000,4878048,205000000000000000000,,1,2026-06-24 14:12:07,P88RYrWPvq8nXkF7eAoSBVqheNZttSMnxVp467jUxEq2jL4YMdRzuFXfvmiRnMUGx5pX5jCuxVWXP5mFi1hDRJo,4,,,,,,1
2026-06-24 16:50:25,jM16AnRNiyyNQYtbgPKsrRepZiyHzkyic4eTuxxAtz4i6DfgkWycD3qmXPozJDBdEHx5nTMmsgiYoJKeU83QyHq,sell,NVDA,FkzjAJX584L1LncQb8AKSnGhc5sLvZjPGCgZLGpeHyTH,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,EAoChDX1QCd31DxD2DcvxWXwhruxoE8kwwsiujXf1X32,999999,4878048,205000000000000000000,,1,2026-06-26 09:54:12,2ptqsopzNzp4K5CrsgYmLL3wA3fMKvEezqM6XsQbZXYTwD1feDUAXbWu3LxwCr8DHy7V4TZHmFEGjcwHYGcLebPn,147827,1782319826,,,974555,999999,0
2026-06-30 10:38:28,5uQyRNkAwp1EjeEvDjKe4i1ahtUXjq36MPD698xPZxbVXb7zKYBCuvcBCjin5sbLZmorWRoj6qjABqwook5dMS9P,buy,NVDA,FkzjAJX584L1LncQb8AKSnGhc5sLvZjPGCgZLGpeHyTH,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,HxH3WwZoq88SKBHF5mWqFaPzGdLLXUFz9tparTbixWe1,1000000,4878048,205000000000000000000,,0,,,,,,,,,
2026-06-30 10:39:09,4cFW7S6gi9MLmtTvpUWRDird3P81HnweZ6E1tRF2qJBK9iwVQunZWv6bBpDvtdfeQFNeaUqCvX3NLWTSo8t4TQNd,buy,NVDA,FkzjAJX584L1LncQb8AKSnGhc5sLvZjPGCgZLGpeHyTH,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,Bbi1pego2fDFi86jBVJwYG3Y9BHRksWp13pD1zRSXcUy,1000000,4878048,205000000000000000000,,0,,,,,,,,,
2026-06-30 13:42:31,5DUa3VHgY9YgMHppri6wnkSzCzLUN3KUDR9hTLVRSVMbkNDGYNuNYbektNLkRByUcDicfWXViUeSwTjNgyWHC8y7,buy,NVDA,FkzjAJX584L1LncQb8AKSnGhc5sLvZjPGCgZLGpeHyTH,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,G7tKB6F5XT98rZqEhpX5o43nr4WqBEpVhzqoiBgnHzuJ,1000000,4878048,205000000000000000000,,1,2026-06-30 13:42:35,3TaBgt6tNarsBSNbxLZSQ4ixFZbkw9mXHmcSBjynrT6hKfbcJRcAB4igAodw9EiLYL84ZaSALWCstcnBF232vjwH,4,,,,,,1
2026-07-14 11:49:13,3FAqHB8Gt8MfkgnZLq1p9TxfvBoevxUZQfvCEq2ewrvqPcn52GdG1YX3VUftZrHXHGrbL6YGBaLzbpr2aWMvWbrL,buy,NVDA,FkzjAJX584L1LncQb8AKSnGhc5sLvZjPGCgZLGpeHyTH,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,uYbwZBSzX3yNyvBRXATSe2HzdSrGrLUgVLutTHAdsRV,1000000,4878048,205000000000000000000,,0,,,,,,,,,
2026-07-14 11:52:15,3TGYHVhL6R54UGohVKrDp2D6Vf6UpNJyA1ALjgQpWJQiELMQCeW3HwmD8RDrgHfEBXx9Wp2Xo33Lf1SkNpRJPnJN,buy,NVDA,FkzjAJX584L1LncQb8AKSnGhc5sLvZjPGCgZLGpeHyTH,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,BZwvvpqZwsdnSskuNk5B3DsJ7VLVDWkiPA94EjgrnejZ,1000000,4878048,205000000000000000000,,0,2026-07-14 13:56:35,5rjwtvDXPxex6ai7Thxx1PZmPu7DEGLMJMWbJyCdai8t6RJjDryPCT52JP9bt6kZCAWZDueXCAkc5BtriL5foXsp,7460,,,,,,1
2026-07-14 13:58:41,44EK5EVRneSNAT5F97FVojgx37GZ1c3NiLLGLeAtipYTeLqpzwjWDcnzyf93WPXsKveCFPzvYXDaiYJzx8frnmpL,sell,NVDA,FkzjAJX584L1LncQb8AKSnGhc5sLvZjPGCgZLGpeHyTH,26DbLxVUgQPmmwwFNpoWbeTuCT7jn8f19cFZeRtzNwyW,3xP3mCzisasmEa5P8uudsmrvUePgAe3rEDjTdZPRKxCg,974456,4753445,205000000000000000000,,1,,,,,,,,,
